dcterms:title,schema:artform,dcterms:alternative,crm:P1_is_identified_by,crm:P54_has_current_permanent_location,schema:geo,dcterms:temporal,crm:P4_has_time-span,crm:P7_took_place_at,schema:locationCreated,schema:geographicArea,schema:creator,schema:contributor,crm:P15_was_influenced_by,dcterms:abstract,crm:P72_has_language,dcterms:subject,schema:itemCondition,schema:observationDate,crm:P31i_was_modified_by,schema:dateModified,restoration_date_string,dcterms:isPartOf,dcterms:hasPart,crm:P59_has_section,schema:artworkSurface,dcterms:isReferencedBy,dcterms:source,dcterms:identifier,dcterms:creator,dcterms:created,dcterms:modified,dcterms:references,dcterms:accessRights,crm:P138i_has_representation,dcterms:image
Triptyque<br>Volet gauche fermé : La Stigmatisation de saint François d'Assise avec un franciscain ; Saint Jean-Baptiste<br>Volet droit fermé : Sainte Claire d'Assise bénissant une clarisse ; David<br>Volet gauche ouvert : L'Adoration de l'Enfant ; L'Ange de l'Annonciation<br>Volet droit ouvert : Le Couronnement de la Vierge et du Christ ; La Vierge de l'Annonciation,peinture§triptyque,,Calvet 22810,Musée du Petit Palais Avignon,"43.949317,4.805528",3e quart du 15e siècle - 3e quart du 15e siècle,1451§1475,,,,"Bembo, Bonifacio",,,,,,,,,,,,,292cc70a-7435-4800-806f-57cf5e224d3f_004§292cc70a-7435-4800-806f-57cf5e224d3f_005§292cc70a-7435-4800-806f-57cf5e224d3f_006,292cc70a-7435-4800-806f-57cf5e224d3f_001§292cc70a-7435-4800-806f-57cf5e224d3f_002§292cc70a-7435-4800-806f-57cf5e224d3f_003,"Bembo, Bonifacio Avant 1447 - Avant 1482, de, TriptyqueVolet gauche fermé : La Stigmatisation de saint François d'Assise avec un franciscain ; Saint Jean-BaptisteVolet droit fermé : Sainte Claire d'Assise bénissant une clarisse ; DavidVolet gauche ouvert : L'Adoration de l'Enfant ; L'Ange de l'AnnonciationVolet droit ouvert : Le Couronnement de la Vierge et du Christ ; La Vierge de l'Annonciation, peinture (3e quart du 15e siècle)§Ministère de la Culture, Paris",https://agorha.inha.fr/ark:/54721/292cc70a-7435-4800-806f-57cf5e224d3f§https://www.pop.culture.gouv.fr/notice/joconde/000PE012492,292cc70a-7435-4800-806f-57cf5e224d3f,Philomène Renard,08/01/2002,10/11/2023,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France - licence : Attribution 4.0 International (CC BY 4.0),https://agorha.inha.fr/iiif/presentation/v2/292cc70a-7435-4800-806f-57cf5e224d3f,https://agorha.inha.fr/ark:/54721/5aeaed3f-7467-43a1-91f9-5b123874539f/doc/24fb353d-caf6-4bc5-8f1b-e393ce6092d0/original.jpg
La Sainte Trinité,peinture,,D.81.1.1,Musée des Beaux-Arts Chambéry,"45.564601,5.917781",1397-1397,1397§1397,,,,Bartolo di Fredi,,,,,,,,,,,,,ee9938f9-292d-4a35-a3cf-422ed39be6ba_004§ee9938f9-292d-4a35-a3cf-422ed39be6ba_005§ee9938f9-292d-4a35-a3cf-422ed39be6ba_006§ee9938f9-292d-4a35-a3cf-422ed39be6ba_008§ee9938f9-292d-4a35-a3cf-422ed39be6ba_009§ee9938f9-292d-4a35-a3cf-422ed39be6ba_010§ee9938f9-292d-4a35-a3cf-422ed39be6ba_011§ee9938f9-292d-4a35-a3cf-422ed39be6ba_012§ee9938f9-292d-4a35-a3cf-422ed39be6ba_013§ee9938f9-292d-4a35-a3cf-422ed39be6ba_014§ee9938f9-292d-4a35-a3cf-422ed39be6ba_015§ee9938f9-292d-4a35-a3cf-422ed39be6ba_016§ee9938f9-292d-4a35-a3cf-422ed39be6ba_017§ee9938f9-292d-4a35-a3cf-422ed39be6ba_018§ee9938f9-292d-4a35-a3cf-422ed39be6ba_019§ee9938f9-292d-4a35-a3cf-422ed39be6ba_020§ee9938f9-292d-4a35-a3cf-422ed39be6ba_021§ee9938f9-292d-4a35-a3cf-422ed39be6ba_022§ee9938f9-292d-4a35-a3cf-422ed39be6ba_023§ee9938f9-292d-4a35-a3cf-422ed39be6ba_024§ee9938f9-292d-4a35-a3cf-422ed39be6ba_025§ee9938f9-292d-4a35-a3cf-422ed39be6ba_026§ee9938f9-292d-4a35-a3cf-422ed39be6ba_027§ee9938f9-292d-4a35-a3cf-422ed39be6ba_028§ee9938f9-292d-4a35-a3cf-422ed39be6ba_029§ee9938f9-292d-4a35-a3cf-422ed39be6ba_030§ee9938f9-292d-4a35-a3cf-422ed39be6ba_035§ee9938f9-292d-4a35-a3cf-422ed39be6ba_036§ee9938f9-292d-4a35-a3cf-422ed39be6ba_037§ee9938f9-292d-4a35-a3cf-422ed39be6ba_038§ee9938f9-292d-4a35-a3cf-422ed39be6ba_039§ee9938f9-292d-4a35-a3cf-422ed39be6ba_040§ee9938f9-292d-4a35-a3cf-422ed39be6ba_041§ee9938f9-292d-4a35-a3cf-422ed39be6ba_042§ee9938f9-292d-4a35-a3cf-422ed39be6ba_043§ee9938f9-292d-4a35-a3cf-422ed39be6ba_044,ee9938f9-292d-4a35-a3cf-422ed39be6ba_001§ee9938f9-292d-4a35-a3cf-422ed39be6ba_002§ee9938f9-292d-4a35-a3cf-422ed39be6ba_003§ee9938f9-292d-4a35-a3cf-422ed39be6ba_007§ee9938f9-292d-4a35-a3cf-422ed39be6ba_031§ee9938f9-292d-4a35-a3cf-422ed39be6ba_032§ee9938f9-292d-4a35-a3cf-422ed39be6ba_033§ee9938f9-292d-4a35-a3cf-422ed39be6ba_034,"Bartolo di Fredi 1330 - 1410, de, La Sainte Trinité, peinture (1397)§Ministère de la Culture, Paris",https://agorha.inha.fr/ark:/54721/ee9938f9-292d-4a35-a3cf-422ed39be6ba§https://www.pop.culture.gouv.fr/notice/joconde/000PE018003,ee9938f9-292d-4a35-a3cf-422ed39be6ba,Léa Checri (pour le bloc matérialité),13/05/2005,12/04/2024,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France - licence : Attribution 4.0 International (CC BY 4.0),https://agorha.inha.fr/iiif/presentation/v2/ee9938f9-292d-4a35-a3cf-422ed39be6ba,https://agorha.inha.fr/ark:/54721/f738e11a-8ede-41e8-a18e-12bdc3526f88/doc/4272c923-cd95-4d65-a5ac-b477863f8a36/original.jpg
La Vierge de l'Annonciation,peinture,,Cl. 865 a,Musée du Petit Palais Avignon,"43.949317,4.805528",1er quart du 15e siècle - 1er quart du 15e siècle,1401§1425,,,,Gherardo Starnina,,,,,,,,,,,https://agorha.inha.fr/ark:/54721/68f349c1-0512-457f-afef-cc857b735d79,,17a6fc0f-78e2-46c7-bc11-4f94dd36198a_003§17a6fc0f-78e2-46c7-bc11-4f94dd36198a_004§17a6fc0f-78e2-46c7-bc11-4f94dd36198a_005§17a6fc0f-78e2-46c7-bc11-4f94dd36198a_006§17a6fc0f-78e2-46c7-bc11-4f94dd36198a_007§17a6fc0f-78e2-46c7-bc11-4f94dd36198a_008§17a6fc0f-78e2-46c7-bc11-4f94dd36198a_009§17a6fc0f-78e2-46c7-bc11-4f94dd36198a_010§17a6fc0f-78e2-46c7-bc11-4f94dd36198a_011§17a6fc0f-78e2-46c7-bc11-4f94dd36198a_012§17a6fc0f-78e2-46c7-bc11-4f94dd36198a_013§17a6fc0f-78e2-46c7-bc11-4f94dd36198a_014§17a6fc0f-78e2-46c7-bc11-4f94dd36198a_015§17a6fc0f-78e2-46c7-bc11-4f94dd36198a_016§17a6fc0f-78e2-46c7-bc11-4f94dd36198a_017,17a6fc0f-78e2-46c7-bc11-4f94dd36198a_001§17a6fc0f-78e2-46c7-bc11-4f94dd36198a_002,"Gherardo Starnina Vers 1360 - Avant 1413, de, La Vierge de l'Annonciation, peinture (1er quart du 15e siècle)§Ministère de la Culture, Paris",https://agorha.inha.fr/ark:/54721/17a6fc0f-78e2-46c7-bc11-4f94dd36198a§https://www.pop.culture.gouv.fr/notice/joconde/000PE012699,17a6fc0f-78e2-46c7-bc11-4f94dd36198a,Philomène Renard,13/05/2005,22/11/2023,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France - licence : Attribution 4.0 International (CC BY 4.0),https://agorha.inha.fr/iiif/presentation/v2/17a6fc0f-78e2-46c7-bc11-4f94dd36198a,https://agorha.inha.fr/ark:/54721/c2b17f45-78a2-4b29-bcbf-71bc36628e6f/doc/007c2789-0e9b-459e-8017-d8b5c1ab4727/original.jpg
Saint Clément. Au dessus : La Vierge de l'Annonciation,peinture,,M.I.436,Musée du Petit Palais Avignon,"43.949317,4.805528",1455-1460,1455§1460,,,,Giovanni di Paolo,,,,,,,,,,,,,19155884-34c1-49dd-8e30-92fd787b5247_004§19155884-34c1-49dd-8e30-92fd787b5247_005§19155884-34c1-49dd-8e30-92fd787b5247_006§19155884-34c1-49dd-8e30-92fd787b5247_007§19155884-34c1-49dd-8e30-92fd787b5247_008§19155884-34c1-49dd-8e30-92fd787b5247_009§19155884-34c1-49dd-8e30-92fd787b5247_010§19155884-34c1-49dd-8e30-92fd787b5247_011§19155884-34c1-49dd-8e30-92fd787b5247_012,19155884-34c1-49dd-8e30-92fd787b5247_001§19155884-34c1-49dd-8e30-92fd787b5247_002§19155884-34c1-49dd-8e30-92fd787b5247_003,"Giovanni di Paolo Avant 1420 - 1482, de, Saint Clément. Au dessus : La Vierge de l'Annonciation, peinture (1455 - 1460)§Ministère de la Culture, Paris",https://agorha.inha.fr/ark:/54721/19155884-34c1-49dd-8e30-92fd787b5247§https://www.pop.culture.gouv.fr/notice/joconde/000PE012558,19155884-34c1-49dd-8e30-92fd787b5247,Philomène Renard,23/01/2002,12/04/2024,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France - licence : Attribution 4.0 International (CC BY 4.0),https://agorha.inha.fr/iiif/presentation/v2/19155884-34c1-49dd-8e30-92fd787b5247,https://agorha.inha.fr/ark:/54721/a8ed9a01-2532-4711-8069-f4be4dc8fbde/doc/2c704520-f274-4fd8-82ca-cf3510fcdc14/original.jpg
La Vierge et l'Enfant avec saint Jean- Baptiste et un ange,peinture,,Inv. 20647,Musée du Petit Palais Avignon,"43.949317,4.805528",2e moitié du 15e siècle - 2e moitié du 15e siècle,1451§1500,,,,Jacopo del Sellaio,,,,,,,,,,,,,2d54d4d5-2a1c-48ee-ade5-6d73aa47492d_004§2d54d4d5-2a1c-48ee-ade5-6d73aa47492d_005§2d54d4d5-2a1c-48ee-ade5-6d73aa47492d_006§2d54d4d5-2a1c-48ee-ade5-6d73aa47492d_007§2d54d4d5-2a1c-48ee-ade5-6d73aa47492d_008§2d54d4d5-2a1c-48ee-ade5-6d73aa47492d_009§2d54d4d5-2a1c-48ee-ade5-6d73aa47492d_010§2d54d4d5-2a1c-48ee-ade5-6d73aa47492d_011§2d54d4d5-2a1c-48ee-ade5-6d73aa47492d_012§2d54d4d5-2a1c-48ee-ade5-6d73aa47492d_013§2d54d4d5-2a1c-48ee-ade5-6d73aa47492d_014§2d54d4d5-2a1c-48ee-ade5-6d73aa47492d_015,2d54d4d5-2a1c-48ee-ade5-6d73aa47492d_001§2d54d4d5-2a1c-48ee-ade5-6d73aa47492d_002§2d54d4d5-2a1c-48ee-ade5-6d73aa47492d_003,"Jacopo del Sellaio 1441 - 1493, de, La Vierge et l'Enfant avec saint Jean- Baptiste et un ange, peinture (2e moitié du 15e siècle)§Ministère de la Culture, Paris",https://agorha.inha.fr/ark:/54721/2d54d4d5-2a1c-48ee-ade5-6d73aa47492d§https://www.pop.culture.gouv.fr/notice/joconde/000PE012694,2d54d4d5-2a1c-48ee-ade5-6d73aa47492d,Philomène Renard,15/03/2002,22/11/2023,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France - licence : Attribution 4.0 International (CC BY 4.0),https://agorha.inha.fr/iiif/presentation/v2/2d54d4d5-2a1c-48ee-ade5-6d73aa47492d,https://agorha.inha.fr/ark:/54721/6ee0c32b-96aa-412d-a104-b67669caeb97/doc/593245e6-7c8c-4b1b-aa99-bda956876e02/original.jpg
L' Ascension,peinture,,Inv. 20563,Musée du Petit Palais Avignon,"43.949317,4.805528",1480-1480,1475§1485,,,,Niccolò da Foligno,,,,,,,,,,,https://agorha.inha.fr/ark:/54721/6b7901fe-6315-4f8c-a418-7701f7211951,,bf0575ff-f30f-4a3a-a60c-c319026ba57c_004§bf0575ff-f30f-4a3a-a60c-c319026ba57c_005§bf0575ff-f30f-4a3a-a60c-c319026ba57c_006§bf0575ff-f30f-4a3a-a60c-c319026ba57c_007§bf0575ff-f30f-4a3a-a60c-c319026ba57c_008§bf0575ff-f30f-4a3a-a60c-c319026ba57c_009§bf0575ff-f30f-4a3a-a60c-c319026ba57c_010§bf0575ff-f30f-4a3a-a60c-c319026ba57c_011§bf0575ff-f30f-4a3a-a60c-c319026ba57c_012§bf0575ff-f30f-4a3a-a60c-c319026ba57c_013§bf0575ff-f30f-4a3a-a60c-c319026ba57c_014§bf0575ff-f30f-4a3a-a60c-c319026ba57c_015§bf0575ff-f30f-4a3a-a60c-c319026ba57c_016§bf0575ff-f30f-4a3a-a60c-c319026ba57c_017§bf0575ff-f30f-4a3a-a60c-c319026ba57c_018§bf0575ff-f30f-4a3a-a60c-c319026ba57c_019,bf0575ff-f30f-4a3a-a60c-c319026ba57c_001§bf0575ff-f30f-4a3a-a60c-c319026ba57c_002§bf0575ff-f30f-4a3a-a60c-c319026ba57c_003,"Niccolò da Foligno , de, L' Ascension, peinture (Vers 1480)§Ministère de la Culture, Paris",https://agorha.inha.fr/ark:/54721/bf0575ff-f30f-4a3a-a60c-c319026ba57c§https://www.pop.culture.gouv.fr/notice/joconde/000PE012673,bf0575ff-f30f-4a3a-a60c-c319026ba57c,Philomène Renard,13/05/2005,22/11/2023,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France - licence : Attribution 4.0 International (CC BY 4.0),https://agorha.inha.fr/iiif/presentation/v2/bf0575ff-f30f-4a3a-a60c-c319026ba57c,https://agorha.inha.fr/ark:/54721/cfa7ad95-bd31-4964-b2a8-3f4d7aae8c70/doc/6bbbce0e-f846-4b9b-8baa-a181a41ea2bd/original.jpg
Saint Nicolas,peinture,,Inv. 20646,Musée du Petit Palais Avignon,"43.949317,4.805528",1480-1480,1475§1485,,,,Niccolò da Foligno,,,,,,,,,,,https://agorha.inha.fr/ark:/54721/6b7901fe-6315-4f8c-a418-7701f7211951,,ddbaf2f0-07d3-4b43-86d1-796f10c43e2f_004§ddbaf2f0-07d3-4b43-86d1-796f10c43e2f_005§ddbaf2f0-07d3-4b43-86d1-796f10c43e2f_006§ddbaf2f0-07d3-4b43-86d1-796f10c43e2f_007§ddbaf2f0-07d3-4b43-86d1-796f10c43e2f_008§ddbaf2f0-07d3-4b43-86d1-796f10c43e2f_009§ddbaf2f0-07d3-4b43-86d1-796f10c43e2f_010§ddbaf2f0-07d3-4b43-86d1-796f10c43e2f_011§ddbaf2f0-07d3-4b43-86d1-796f10c43e2f_012,ddbaf2f0-07d3-4b43-86d1-796f10c43e2f_001§ddbaf2f0-07d3-4b43-86d1-796f10c43e2f_002§ddbaf2f0-07d3-4b43-86d1-796f10c43e2f_003,"Niccolò da Foligno , de, Saint Nicolas, peinture (Vers 1480)§Ministère de la Culture, Paris",https://agorha.inha.fr/ark:/54721/ddbaf2f0-07d3-4b43-86d1-796f10c43e2f§https://www.pop.culture.gouv.fr/notice/joconde/000PE012667,ddbaf2f0-07d3-4b43-86d1-796f10c43e2f,Philomène Renard,13/05/2005,22/11/2023,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France - licence : Attribution 4.0 International (CC BY 4.0),https://agorha.inha.fr/iiif/presentation/v2/ddbaf2f0-07d3-4b43-86d1-796f10c43e2f,https://agorha.inha.fr/ark:/54721/cf7aecd4-047b-4436-8d95-8d97bca3645b/doc/7fbe47ce-f0f9-4851-8ef2-c6636abbc06b/original.jpg
Le Christ Rédempteur,peinture,,Inv. 20175,Musée du Petit Palais Avignon,"43.949317,4.805528",4e quart du 15e siècle - 1er quart du 16e siècle,1476§1525,,,,Arcangelo di Jacopo del Sellaio§Jacopo del Sellaio,,,,,,,,,,,,,5c7360a6-5b8b-4aa4-a60a-9a78da15310d_004§5c7360a6-5b8b-4aa4-a60a-9a78da15310d_005§5c7360a6-5b8b-4aa4-a60a-9a78da15310d_006§5c7360a6-5b8b-4aa4-a60a-9a78da15310d_007§5c7360a6-5b8b-4aa4-a60a-9a78da15310d_008§5c7360a6-5b8b-4aa4-a60a-9a78da15310d_009§5c7360a6-5b8b-4aa4-a60a-9a78da15310d_010§5c7360a6-5b8b-4aa4-a60a-9a78da15310d_011§5c7360a6-5b8b-4aa4-a60a-9a78da15310d_012§5c7360a6-5b8b-4aa4-a60a-9a78da15310d_013§5c7360a6-5b8b-4aa4-a60a-9a78da15310d_014§5c7360a6-5b8b-4aa4-a60a-9a78da15310d_015§5c7360a6-5b8b-4aa4-a60a-9a78da15310d_016§5c7360a6-5b8b-4aa4-a60a-9a78da15310d_017§5c7360a6-5b8b-4aa4-a60a-9a78da15310d_018§5c7360a6-5b8b-4aa4-a60a-9a78da15310d_019§5c7360a6-5b8b-4aa4-a60a-9a78da15310d_020§5c7360a6-5b8b-4aa4-a60a-9a78da15310d_021§5c7360a6-5b8b-4aa4-a60a-9a78da15310d_022§5c7360a6-5b8b-4aa4-a60a-9a78da15310d_023§5c7360a6-5b8b-4aa4-a60a-9a78da15310d_024§5c7360a6-5b8b-4aa4-a60a-9a78da15310d_025§5c7360a6-5b8b-4aa4-a60a-9a78da15310d_026§5c7360a6-5b8b-4aa4-a60a-9a78da15310d_027§5c7360a6-5b8b-4aa4-a60a-9a78da15310d_028§5c7360a6-5b8b-4aa4-a60a-9a78da15310d_029§5c7360a6-5b8b-4aa4-a60a-9a78da15310d_030§5c7360a6-5b8b-4aa4-a60a-9a78da15310d_031§5c7360a6-5b8b-4aa4-a60a-9a78da15310d_032§5c7360a6-5b8b-4aa4-a60a-9a78da15310d_033§5c7360a6-5b8b-4aa4-a60a-9a78da15310d_034§5c7360a6-5b8b-4aa4-a60a-9a78da15310d_035§5c7360a6-5b8b-4aa4-a60a-9a78da15310d_036§5c7360a6-5b8b-4aa4-a60a-9a78da15310d_037§5c7360a6-5b8b-4aa4-a60a-9a78da15310d_038,5c7360a6-5b8b-4aa4-a60a-9a78da15310d_001§5c7360a6-5b8b-4aa4-a60a-9a78da15310d_002§5c7360a6-5b8b-4aa4-a60a-9a78da15310d_003,"Arcangelo di Jacopo del Sellaio Vers 1477 - 1530, de, Le Christ Rédempteur, peinture (4e quart du 15e siècle - 1er quart du 16e siècle)§Ministère de la Culture, Paris",https://agorha.inha.fr/ark:/54721/5c7360a6-5b8b-4aa4-a60a-9a78da15310d§https://www.pop.culture.gouv.fr/notice/joconde/000PE012695,5c7360a6-5b8b-4aa4-a60a-9a78da15310d,Philomène Renard,17/02/2002,22/11/2023,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France - licence : Attribution 4.0 International (CC BY 4.0),https://agorha.inha.fr/iiif/presentation/v2/5c7360a6-5b8b-4aa4-a60a-9a78da15310d,https://agorha.inha.fr/ark:/54721/9469464c-9a7c-428c-91fa-4220d0622ab2/doc/8712d0cc-0874-4529-9e11-2006e6efdc4b/original.jpg
Deux scènes de la légende de saint Éloi,peinture,,M.I.387,Musée du Petit Palais Avignon,"43.949317,4.805528",1380-1395,1380§1400,,,,"Gerini, Niccolò di Pietro",,,,,,,,,,,,,5baf1180-9180-4ebf-8628-2a736c64d530_005§5baf1180-9180-4ebf-8628-2a736c64d530_006§5baf1180-9180-4ebf-8628-2a736c64d530_007§5baf1180-9180-4ebf-8628-2a736c64d530_008§5baf1180-9180-4ebf-8628-2a736c64d530_009§5baf1180-9180-4ebf-8628-2a736c64d530_010,5baf1180-9180-4ebf-8628-2a736c64d530_001§5baf1180-9180-4ebf-8628-2a736c64d530_002§5baf1180-9180-4ebf-8628-2a736c64d530_003§5baf1180-9180-4ebf-8628-2a736c64d530_004,"Gerini, Niccolò di Pietro Avant 1368 - Vers 1414, de, Deux scènes de la légende de saint Éloi, peinture (1380 - Vers 1395)§Ministère de la Culture, Paris",https://agorha.inha.fr/ark:/54721/5baf1180-9180-4ebf-8628-2a736c64d530§https://www.pop.culture.gouv.fr/notice/joconde/000PE012548,5baf1180-9180-4ebf-8628-2a736c64d530,Philomène Renard,20/01/2002,22/11/2023,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France - licence : Attribution 4.0 International (CC BY 4.0),https://agorha.inha.fr/iiif/presentation/v2/5baf1180-9180-4ebf-8628-2a736c64d530,https://agorha.inha.fr/ark:/54721/358175ef-0222-480d-b101-5e4269f60edc/doc/5dcfea47-322c-44a7-b840-22d9a69e9d71/original.jpg
Saint Paul,peinture,,Inv. 20645,Musée du Petit Palais Avignon,"43.949317,4.805528",1480-1480,1475§1485,,,,Niccolò da Foligno,,,,,,,,,,,https://agorha.inha.fr/ark:/54721/6b7901fe-6315-4f8c-a418-7701f7211951,,3ab7e1f1-311e-463f-b917-89f7e429a4e0_004§3ab7e1f1-311e-463f-b917-89f7e429a4e0_005§3ab7e1f1-311e-463f-b917-89f7e429a4e0_006§3ab7e1f1-311e-463f-b917-89f7e429a4e0_007§3ab7e1f1-311e-463f-b917-89f7e429a4e0_008§3ab7e1f1-311e-463f-b917-89f7e429a4e0_009§3ab7e1f1-311e-463f-b917-89f7e429a4e0_010§3ab7e1f1-311e-463f-b917-89f7e429a4e0_011,3ab7e1f1-311e-463f-b917-89f7e429a4e0_001§3ab7e1f1-311e-463f-b917-89f7e429a4e0_002§3ab7e1f1-311e-463f-b917-89f7e429a4e0_003,"Niccolò da Foligno , de, Saint Paul, peinture (Vers 1480)§Ministère de la Culture, Paris",https://agorha.inha.fr/ark:/54721/3ab7e1f1-311e-463f-b917-89f7e429a4e0§https://www.pop.culture.gouv.fr/notice/joconde/000PE012666,3ab7e1f1-311e-463f-b917-89f7e429a4e0,Philomène Renard,13/05/2005,22/11/2023,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France - licence : Attribution 4.0 International (CC BY 4.0),https://agorha.inha.fr/iiif/presentation/v2/3ab7e1f1-311e-463f-b917-89f7e429a4e0,https://agorha.inha.fr/ark:/54721/4f7cdd55-728d-4b3d-ab06-828e7d93ff60/doc/25861d76-7b44-44dd-9f7a-9f42102e271f/original.jpg
Le Christ descendu de la croix§La Descente de croix,peinture,,Inv. 20193,Musée du Petit Palais Avignon,"43.949317,4.805528",2e moitié du 15e siècle - 2e moitié du 15e siècle,1451§1500,,,,Maestro degli Argonauti§Jacopo del Sellaio,,,,,,,,,,,,,936539d0-de9e-4235-bcd0-86f615ac3859_004§936539d0-de9e-4235-bcd0-86f615ac3859_005§936539d0-de9e-4235-bcd0-86f615ac3859_006§936539d0-de9e-4235-bcd0-86f615ac3859_007§936539d0-de9e-4235-bcd0-86f615ac3859_008§936539d0-de9e-4235-bcd0-86f615ac3859_009§936539d0-de9e-4235-bcd0-86f615ac3859_010§936539d0-de9e-4235-bcd0-86f615ac3859_011§936539d0-de9e-4235-bcd0-86f615ac3859_012§936539d0-de9e-4235-bcd0-86f615ac3859_013§936539d0-de9e-4235-bcd0-86f615ac3859_014§936539d0-de9e-4235-bcd0-86f615ac3859_015§936539d0-de9e-4235-bcd0-86f615ac3859_016§936539d0-de9e-4235-bcd0-86f615ac3859_017§936539d0-de9e-4235-bcd0-86f615ac3859_018§936539d0-de9e-4235-bcd0-86f615ac3859_019,936539d0-de9e-4235-bcd0-86f615ac3859_001§936539d0-de9e-4235-bcd0-86f615ac3859_002§936539d0-de9e-4235-bcd0-86f615ac3859_003,"Maestro degli Argonauti , de, Le Christ descendu de la croix, peinture (2e moitié du 15e siècle)§Ministère de la Culture, Paris",https://agorha.inha.fr/ark:/54721/936539d0-de9e-4235-bcd0-86f615ac3859§https://www.pop.culture.gouv.fr/notice/joconde/000PE012740,936539d0-de9e-4235-bcd0-86f615ac3859,Philomène Renard,17/02/2002,22/11/2023,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France - licence : Attribution 4.0 International (CC BY 4.0),https://agorha.inha.fr/iiif/presentation/v2/936539d0-de9e-4235-bcd0-86f615ac3859,https://agorha.inha.fr/ark:/54721/78e888f8-d1f4-47b9-9467-9b2b9871f9f5/doc/9919aeda-dd57-4cf0-a590-6f02a1a06f9e/original.jpg
L'Adoration des Mages,peinture,,RF 1986 2,Musée du Louvre Paris,"48.860591,2.337582",1335-1340,1335§1340,,,,"Lorenzetti, Pietro",,,,,,,,,,,,,cd9c9a0a-06d6-49c3-8d37-816f4e994da6_005§cd9c9a0a-06d6-49c3-8d37-816f4e994da6_006§cd9c9a0a-06d6-49c3-8d37-816f4e994da6_007§cd9c9a0a-06d6-49c3-8d37-816f4e994da6_008§cd9c9a0a-06d6-49c3-8d37-816f4e994da6_009,cd9c9a0a-06d6-49c3-8d37-816f4e994da6_001§cd9c9a0a-06d6-49c3-8d37-816f4e994da6_002§cd9c9a0a-06d6-49c3-8d37-816f4e994da6_003§cd9c9a0a-06d6-49c3-8d37-816f4e994da6_004,"Lorenzetti, Pietro , de, L'Adoration des Mages, peinture (1335 - 1340)§Ministère de la Culture, Paris§Musée du Louvre (1793 - ), Paris",https://agorha.inha.fr/ark:/54721/cd9c9a0a-06d6-49c3-8d37-816f4e994da6§https://www.pop.culture.gouv.fr/notice/joconde/00000104608§https://collections.louvre.fr/ark:/53355/cl010061643,cd9c9a0a-06d6-49c3-8d37-816f4e994da6,Philomène Renard,13/05/2005,17/11/2023,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France - licence : Attribution 4.0 International (CC BY 4.0),https://agorha.inha.fr/iiif/presentation/v2/cd9c9a0a-06d6-49c3-8d37-816f4e994da6,https://agorha.inha.fr/ark:/54721/def86260-40fc-490d-b1b5-3ce4fb67b705/doc/824a9016-7c9b-4153-929b-26449a1ebb22/original.jpg
